Time,4793:WINTER DESIGN DAY IN CASESTUDY-THESIS:Des Heat Load [W],4793:SUMMER DESIGN DAY IN CASESTUDY-THESIS JUL:Des Sens Cool Load [W],4793:WINTER DESIGN DAY IN CASESTUDY-THESIS:Des Heat Mass Flow [kg/s],4793:SUMMER DESIGN DAY IN CASESTUDY-THESIS JUL:Des Cool Mass Flow [kg/s],4813:WINTER DESIGN DAY IN CASESTUDY-THESIS:Des Heat Load [W],4813:SUMMER DESIGN DAY IN CASESTUDY-THESIS JUL:Des Sens Cool Load [W],4813:WINTER DESIGN DAY IN CASESTUDY-THESIS:Des Heat Mass Flow [kg/s],4813:SUMMER DESIGN DAY IN CASESTUDY-THESIS JUL:Des Cool Mass Flow [kg/s],4820:WINTER DESIGN DAY IN CASESTUDY-THESIS:Des Heat Load [W],4820:SUMMER DESIGN DAY IN CASESTUDY-THESIS JUL:Des Sens Cool Load [W],4820:WINTER DESIGN DAY IN CASESTUDY-THESIS:Des Heat Mass Flow [kg/s],4820:SUMMER DESIGN DAY IN CASESTUDY-THESIS JUL:Des Cool Mass Flow [kg/s],5618:WINTER DESIGN DAY IN CASESTUDY-THESIS:Des Heat Load [W],5618:SUMMER DESIGN DAY IN CASESTUDY-THESIS JUL:Des Sens Cool Load [W],5618:WINTER DESIGN DAY IN CASESTUDY-THESIS:Des Heat Mass Flow [kg/s],5618:SUMMER DESIGN DAY IN CASESTUDY-THESIS JUL:Des Cool Mass Flow [kg/s],5627:WINTER DESIGN DAY IN CASESTUDY-THESIS:Des Heat Load [W],5627:SUMMER DESIGN DAY IN CASESTUDY-THESIS JUL:Des Sens Cool Load [W],5627:WINTER DESIGN DAY IN CASESTUDY-THESIS:Des Heat Mass Flow [kg/s],5627:SUMMER DESIGN DAY IN CASESTUDY-THESIS JUL:Des Cool Mass Flow [kg/s],5642:WINTER DESIGN DAY IN CASESTUDY-THESIS:Des Heat Load [W],5642:SUMMER DESIGN DAY IN CASESTUDY-THESIS JUL:Des Sens Cool Load [W],5642:WINTER DESIGN DAY IN CASESTUDY-THESIS:Des Heat Mass Flow [kg/s],5642:SUMMER DESIGN DAY IN CASESTUDY-THESIS JUL:Des Cool Mass Flow [kg/s]
00:15:00,6.260876E+03,2.379599E+03,4.656545E-01,1.945391E-01,2.106939E+03,1.013781E+03,1.567405E-01,8.288270E-02,2.180246E+03,1.127185E+03,1.621939E-01,9.215396E-02,1.766864E+03,8.923743E+02,1.314405E-01,7.295699E-02,1.580451E+03,7.485792E+02,1.175727E-01,6.120113E-02,4.480735E+03,1.721990E+03,3.332484E-01,1.407800E-01
00:30:00,6.260657E+03,2.268290E+03,4.656382E-01,1.854396E-01,2.106923E+03,9.697622E+02,1.567394E-01,7.928391E-02,2.180182E+03,1.081069E+03,1.621892E-01,8.838371E-02,1.766513E+03,8.631180E+02,1.314144E-01,7.056514E-02,1.580307E+03,7.220169E+02,1.175620E-01,5.902953E-02,4.479914E+03,1.654664E+03,3.331873E-01,1.352761E-01
00:45:00,6.260440E+03,2.160004E+03,4.656220E-01,1.765874E-01,2.106907E+03,9.269630E+02,1.567382E-01,7.578488E-02,2.180119E+03,1.036222E+03,1.621845E-01,8.471725E-02,1.766164E+03,8.345543E+02,1.313885E-01,6.822993E-02,1.580163E+03,6.960689E+02,1.175513E-01,5.690816E-02,4.479097E+03,1.589104E+03,3.331265E-01,1.299166E-01
01:00:00,6.260223E+03,2.054727E+03,4.656059E-01,1.679811E-01,2.106892E+03,8.853611E+02,1.567370E-01,7.238374E-02,2.180056E+03,9.926250E+02,1.621798E-01,8.115302E-02,1.765817E+03,8.066822E+02,1.313626E-01,6.595127E-02,1.580020E+03,6.707335E+02,1.175406E-01,5.483690E-02,4.478283E+03,1.525281E+03,3.330660E-01,1.246992E-01
01:15:00,6.260235E+03,1.954532E+03,4.656068E-01,1.597904E-01,2.106893E+03,8.453635E+02,1.567371E-01,6.911376E-02,2.180059E+03,9.508159E+02,1.621801E-01,7.773494E-02,1.765836E+03,7.806092E+02,1.313641E-01,6.381970E-02,1.580028E+03,6.466951E+02,1.175412E-01,5.287166E-02,4.478327E+03,1.466022E+03,3.330693E-01,1.198548E-01
01:30:00,6.260247E+03,1.858872E+03,4.656077E-01,1.519703E-01,2.106893E+03,8.068629E+02,1.567372E-01,6.596617E-02,2.180063E+03,9.105564E+02,1.621803E-01,7.444356E-02,1.765855E+03,7.555535E+02,1.313655E-01,6.177129E-02,1.580035E+03,6.236024E+02,1.175418E-01,5.098373E-02,4.478371E+03,1.409967E+03,3.330726E-01,1.152723E-01
01:45:00,6.260259E+03,1.767811E+03,4.656086E-01,1.445261E-01,2.106894E+03,7.698413E+02,1.567372E-01,6.293949E-02,2.180066E+03,8.718281E+02,1.621806E-01,7.127734E-02,1.765874E+03,7.315126E+02,1.313669E-01,5.980584E-02,1.580043E+03,6.014550E+02,1.175423E-01,4.917309E-02,4.478415E+03,1.357132E+03,3.330758E-01,1.109531E-01
02:00:00,6.260271E+03,1.681171E+03,4.656094E-01,1.374434E-01,2.106895E+03,7.342824E+02,1.567373E-01,6.003239E-02,2.180070E+03,8.346136E+02,1.621809E-01,6.823490E-02,1.765892E+03,7.084844E+02,1.313683E-01,5.792320E-02,1.580050E+03,5.802535E+02,1.175429E-01,4.743978E-02,4.478458E+03,1.307508E+03,3.330790E-01,1.068964E-01
02:15:00,6.260282E+03,1.597403E+03,4.656103E-01,1.305954E-01,2.106896E+03,6.998351E+02,1.567374E-01,5.721618E-02,2.180073E+03,7.985609E+02,1.621811E-01,6.528743E-02,1.765911E+03,6.861309E+02,1.313696E-01,5.609570E-02,1.580058E+03,5.596625E+02,1.175435E-01,4.575637E-02,4.478501E+03,1.259640E+03,3.330822E-01,1.029831E-01
02:30:00,6.260294E+03,1.516433E+03,4.656112E-01,1.239761E-01,2.106897E+03,6.664815E+02,1.567374E-01,5.448937E-02,2.180077E+03,7.636497E+02,1.621814E-01,6.243329E-02,1.765929E+03,6.644456E+02,1.313710E-01,5.432284E-02,1.580066E+03,5.396797E+02,1.175440E-01,4.412270E-02,4.478544E+03,1.213516E+03,3.330854E-01,9.921246E-02
